Question,Answer
How long does my community garden permit last through ,The maximum duration of the preformance period is ten years from the date of execution
Will my garden have preformance reviews,"Yes, RAP will hold a series of annual performance review which shall include a compliance with terms and conditions, maintenece of the property, fufillment of performance requirements, Adequacy of funding, cooperation with LA city staff, and proper participation"
How do I go about performance reviews,"submit to RAP a performance report that includes Annual Budget, participation data, discussion of program challenges in the period of Feburary first through May thirtieth"
What are the general requirements and restrictions ,"PROPERTIES may be used for meetings related to the operation and maintenance of a community garden. b. The public will be allowed access for public programs, tours of the garden and during special events; scheduled school tours and field trips will be conducted by a registered and fingerprinted employee or volunteer of LACGC. LACGC shall ensure that any employee and/or volunteer, is appropriately evaluated pursuant to normal CITY background check procedures for RAP volunteers. c. No commercial activity will be allowed on the PROPERTIES. d. Grown and harvested fruit and vegetation are for personal consumption and may not be used for for-profit commercial purposes. e. PROPERTIES shall not be permitted to be used for organized sports, public event space, or paid parking. LACGC shall ensure that no photographs of minors or depiction of their likeness is included in any publication without obtaining prior written consent from the child’s parent or legal guardian. The documentation of this written consent must be provided to RAP prior to photographs being taken. f. g. The dispensing and/or consumption of beer, wine or other intoxicating liquors (commonly referred to alcoholic beverages) shall not be permitted to occur on the PROPERTIES"
What hours of the day am I permitted to use the garden,Sunrise to sunset daily for the operation and maintenance of community gardens. Any extended times or hours for specified events or programs related to a community garden may be granted with prior written consent of CITY
"Can I park for free, how does parking work","LACGC, its staff, and public patrons and/or guests, whether or not involved in LACGC activities at the PROPERTIES, shall have the non-exclusive right without charge, to park vehicles within any available parking spaces at the PROPERTIES on a first-come-first-served basis. Exclusive or designated parking shall not be allowed. Off-site street parking is allowed, subject to the Department of Transportation regulations."
Can we do fundraising for our garden,"must obtain prior written approval for the date and time from RAP contact person set forth in Notices Section 24 for each fundraising event no fewer than thirty (30) calendar days prior to the scheduled activity. LACGC may have no more than four (4) fundraising events per year with a maximum of one (1) fundraising event per quarter. All monies raised from fundraising conducted at the PROPERTIES must be used only in support of the activities authorized under this AGREEMENT. Within thirty (30) days of each fundraising event held at the PROPERTIES, LACGC shall provide a written balance statement for the event that shall detail expenses and revenues, including net funds raised. Fundraising activities shall not include the distribution and/or the consumption of alcoholic beverages in accordance with Section 5.g."
How does billing and costs of utilities work,"the cost of utility services to the PROPERTIES, such as electricity, gas, and water, shall be the sole financial responsibility of the organization operating and maintaining the subject facility. With respect to the PROPERTIES under this AGREEMENT. RAP shall invoice LACGC semi-annually for actual water use based on a water
sub-meter installed at the PROPERTIES. Payment for each six month billing period
(January-June and July-December) will be made by LACGC in a lump sum within thirty
(30) calendar days of receipt of an invoice from RAP. Payments may be made by check
or money order made payable to “City of Los Angeles, Department of Recreation and
Parks” and mailed to the RAP Partnership Division at the address listed in Section 24 of
this AGREEMENT."
What is the trash and solid waste disposal policy,"Trash disposal and removal of solid waste, green waste and recyclables shall be the sole responsibility and expense of LACGC. CITY shall bear no costs in regards to the disposal and /or removal of trash, solid waste and green waste."
"what if I want to make alterations, improvements or replacements at my garden","Submit a project proposal for RAP review and presentation for conceptual approval by the BOARD, if necessary. The proposal should include but not be limited to, project objectives, conceptual drawings, a written description of the project’s scope of work, general project details and requirements, and estimated preliminary budget. a. Should the project be conceptually approved by the BOARD, LACGC will be authorized to perform any required preliminary work or site assessments, either through a right-ofentry permit if required, or the CITY’s authority and/or this AGREEMENT. b. Depending on the scope of work and magnitude of the proposed project, LACGC may be assessed an administrative fee to be determined by RAP, for project review and all c. Agreement No. services provided by CITY staff. Such fee shall be paid to the “City of Los Angeles Department of Recreation and Parks” and shall have been paid in full prior to CITY conceptual approval of the proposed project. d. If necessary and pursuant to the recommendation of the City Attorney, a development agreement shall be prepared to set forth the terms and conditions under which the proposed project shall be implemented, depending on the scope of work and project magnitude. e. When prepared, LACGC shall submit 50% and 90% complete design drawings for RAP review and approval. Upon RAP’s approval, all design and architectural work shall be completed by a California licensed architect and/engineer. PARTIES shall submit a proposed development agreement and final plans and specifications, respectively, to the BOARD for its consideration and final project approval. f. g. LACGC shall obtain, at its own cost and expense, all necessary and/or required City, County, State, and/or Federal permits, approvals, licenses, and/or authorizations for project implementation, including but not limited to environmental clearances, in compliance with the California Environmental Quality Act (CEQA). h. LACGC shall submit approved plans and specifications for final approval to: Assistant General Manager, Planning, Maintenance and Construction Branch City of Los Angeles Department of Recreation and Parks 221 N. Figueroa Street, Suite 400, Los Angeles, CA 90012 i. Upon receipt of final approval, LACGC may commence construction in coordination with CITY staff."
